,iteration,id,production,consumption,stored_kwh,wallet,grid_energy
2,41,ap3,72.4425,37.8627,0.0,0.0,0.0
3,41,ap4,72.1847,39.161,0.0,0.0,0.0
4,41,cs1,17.316,43.2344,0.0,-31585.3852,25.9184
5,41,cs2,17.316,43.148,0.0,-30908.1184,25.832
0,42,ap1,86.6542,38.2237,2069.1092,0.0,0.0
1,42,ap2,17.316,38.1811,0.0,-25804.5866,20.8651
2,42,ap3,68.9012,35.4303,0.0,0.0,0.0
3,42,ap4,71.7914,38.8803,0.0,0.0,0.0
4,42,cs1,17.316,42.915,0.0,-32417.1761,25.599
5,42,cs2,17.316,42.143,0.0,-31714.8253,24.827
0,43,ap1,87.7038,38.8023,2118.0107,0.0,0.0
1,43,ap2,17.316,37.294,0.0,-26733.678,19.978
2,43,ap3,73.3878,38.5119,0.0,0.0,0.0
3,43,ap4,71.5071,38.6774,0.0,0.0,0.0
4,43,cs1,17.316,42.6036,0.0,-33593.1951,25.2876
5,43,cs2,17.316,42.3529,0.0,-32879.1831,25.0369
0,44,ap1,83.2554,36.35,2164.9161,0.0,0.0
1,44,ap2,17.316,36.2146,0.0,-27177.5741,18.8986
2,44,ap3,73.4339,38.5436,0.0,0.0,0.0
3,44,ap4,69.5087,37.2511,0.0,0.0,0.0
4,44,cs1,17.316,42.6118,0.0,-34187.3493,25.2958
5,44,cs2,17.316,42.5788,0.0,-33472.5625,25.2628
0,45,ap1,85.5866,37.6351,2212.8675,0.0,0.0
1,45,ap2,17.316,33.8103,0.0,-27339.1011,16.4943
2,45,ap3,70.8123,36.743,0.0,0.0,0.0
3,45,ap4,68.7123,36.6827,0.0,0.0,0.0
4,45,cs1,17.316,44.1066,0.0,-34449.7063,26.7906
5,45,cs2,17.316,44.0667,0.0,-33734.5291,26.7507
0,46,ap1,89.1992,39.6266,2262.4401,0.0,0.0
1,46,ap2,17.316,38.3874,0.0,-27957.0053,21.0714
2,46,ap3,74.5586,39.316,0.0,0.0,0.0
3,46,ap4,69.5752,37.2986,0.0,0.0,0.0
4,46,cs1,17.316,41.7831,0.0,-35167.1883,24.4671
5,46,cs2,17.316,42.8809,0.0,-34484.2009,25.5649
0,47,ap1,83.3503,36.4023,2309.3881,0.0,0.0
1,47,ap2,17.316,37.6428,0.0,-28857.2351,20.3268
2,47,ap3,72.3769,37.8176,0.0,0.0,0.0
3,47,ap4,68.8065,36.75,0.0,0.0,0.0
4,47,cs1,17.316,43.4244,0.0,-36323.4746,26.1084
5,47,cs2,17.316,44.2075,0.0,-35675.1687,26.8915
0,48,ap1,86.4182,38.0935,2357.7127,0.0,0.0
1,48,ap2,17.316,37.8397,0.0,-29620.5358,20.5237
2,48,ap3,72.5677,37.9486,0.0,0.0,0.0
3,48,ap4,69.6555,37.3559,0.0,0.0,0.0
4,48,cs1,17.316,43.3388,0.0,-37291.2938,26.0228
5,48,cs2,17.316,41.986,0.0,-36592.6761,24.67
0,49,ap1,80.7218,34.9533,2403.4812,0.0,0.0
1,49,ap2,17.316,38.4295,0.0,-30482.732,21.1135
2,49,ap3,72.5975,37.9691,0.0,0.0,0.0
3,49,ap4,68.2483,36.3516,0.0,0.0,0.0
4,49,cs1,17.316,42.3576,0.0,-38313.9021,25.0416
5,49,cs2,17.316,42.1523,0.0,-37606.8981,24.8363
0,50,ap1,83.9208,36.7168,2450.6852,0.0,0.0
1,50,ap2,17.316,38.5359,0.0,-30697.7861,21.2199
2,50,ap3,73.9958,38.9295,0.0,0.0,0.0
3,50,ap4,71.0078,38.3211,0.0,0.0,0.0
4,50,cs1,17.316,42.4166,0.0,-38568.2858,25.1006
5,50,cs2,17.316,43.3793,0.0,-37871.0382,26.0633
0,51,ap1,86.69,38.2434,2499.1318,0.0,0.0
1,51,ap2,17.316,38.828,0.0,-30933.5015,21.512
2,51,ap3,72.4155,37.8441,0.0,0.0,0.0
3,51,ap4,70.9725,38.2959,0.0,0.0,0.0
4,51,cs1,17.316,44.635,0.0,-38867.6311,27.319
5,51,cs2,17.316,43.0596,0.0,-38153.1218,25.7436
0,52,ap1,83.4658,36.466,2546.1315,0.0,0.0
1,52,ap2,17.316,38.0383,0.0,-31759.0346,20.7223
2,52,ap3,73.5783,38.6427,0.0,0.0,0.0
3,52,ap4,70.0022,37.6034,0.0,0.0,0.0
4,52,cs1,17.316,43.286,0.0,-39902.2216,25.97
5,52,cs2,17.316,44.8891,0.0,-39251.5762,27.5731
0,53,ap1,86.8376,38.3247,2594.6444,0.0,0.0
1,53,ap2,17.316,37.3931,0.0,-32441.94,20.0771
2,53,ap3,74.5697,39.3236,0.0,0.0,0.0
3,53,ap4,70.2793,37.8011,0.0,0.0,0.0
4,53,cs1,17.316,43.4262,0.0,-40790.3367,26.1102
5,53,cs2,17.316,44.4275,0.0,-40173.7477,27.1115
0,54,ap1,87.0552,38.4447,2643.2549,0.0,0.0
1,54,ap2,17.316,38.7593,0.0,-33415.7106,21.4433
2,54,ap3,70.0683,36.232,0.0,0.0,0.0
3,54,ap4,71.1751,38.4405,0.0,0.0,0.0
4,54,cs1,17.316,44.0912,0.0,-42006.2374,26.7752
5,54,cs2,17.316,42.3909,0.0,-41312.437,25.0749
0,55,ap1,98.3545,44.6736,2696.9358,0.0,0.0
1,55,ap2,17.316,45.6935,0.0,-34308.5935,28.3775
2,55,ap3,82.6318,44.861,0.0,0.0,0.0
3,55,ap4,80.9263,45.4001,0.0,0.0,0.0
4,55,cs1,17.316,52.2173,0.0,-43104.388,34.9013
5,55,cs2,17.316,50.7169,0.0,-42363.3802,33.4009
0,56,ap1,87.6202,38.7562,2745.7998,0.0,0.0
1,56,ap2,17.316,37.6627,0.0,-35195.6391,20.3467
2,56,ap3,71.0616,36.9142,0.0,0.0,0.0
3,56,ap4,70.623,38.0464,0.0,0.0,0.0
4,56,cs1,17.316,43.1055,0.0,-44228.723,25.7895
5,56,cs2,17.316,42.688,0.0,-43469.5112,25.372
0,57,ap1,88.0787,39.0089,2794.8696,0.0,0.0
1,57,ap2,17.316,36.7584,0.0,-36017.2271,19.4424
2,57,ap3,71.2462,37.041,0.0,0.0,0.0
3,57,ap4,69.9167,37.5423,0.0,0.0,0.0
4,57,cs1,17.316,42.7928,0.0,-45305.3073,25.4768
5,57,cs2,17.316,42.7996,0.0,-44546.3846,25.4836
0,58,ap1,86.3221,38.0406,2843.1511,0.0,0.0
1,58,ap2,17.316,37.6085,0.0,-36351.2025,20.2925
2,58,ap3,72.7849,38.0978,0.0,0.0,0.0
3,58,ap4,69.4231,37.1901,0.0,0.0,0.0
4,58,cs1,17.316,43.659,0.0,-45738.8638,26.343
5,58,cs2,17.316,42.8862,0.0,-44967.2207,25.5702
0,59,ap1,85.955,37.8382,2891.2679,0.0,0.0
1,59,ap2,17.316,36.9042,0.0,-36998.2839,19.5882
2,59,ap3,72.5943,37.9669,0.0,0.0,0.0
3,59,ap4,70.2237,37.7614,0.0,0.0,0.0
4,59,cs1,17.316,43.5112,0.0,-46604.2038,26.1952
5,59,cs2,17.316,44.2676,0.0,-45857.5486,26.9516
0,60,ap1,86.153,37.9473,2939.4735,0.0,0.0
1,60,ap2,17.316,36.2108,0.0,-37324.5262,18.8948
2,60,ap3,73.1512,38.3494,0.0,0.0,0.0
3,60,ap4,71.5185,38.6856,0.0,0.0,0.0
4,60,cs1,17.316,44.1907,0.0,-47068.2306,26.8747
5,60,cs2,17.316,42.9698,0.0,-46300.4945,25.6538
0,61,ap1,87.3178,38.5895,2988.2019,0.0,0.0
1,61,ap2,17.316,37.7019,0.0,-38184.1503,20.3859
2,61,ap3,73.8245,38.8119,0.0,0.0,0.0
3,61,ap4,70.946,38.277,0.0,0.0,0.0
4,61,cs1,17.316,44.2269,0.0,-48202.9989,26.9109
5,61,cs2,17.316,40.9573,0.0,-47297.3891,23.6413
0,62,ap1,85.5469,37.6132,3036.1356,0.0,0.0
1,62,ap2,17.316,39.2611,0.0,-38713.7503,21.9451
2,62,ap3,73.4284,38.5398,0.0,0.0,0.0
3,62,ap4,71.137,38.4132,0.0,0.0,0.0
4,62,cs1,17.316,44.2952,0.0,-48854.0873,26.9792
5,62,cs2,17.316,42.2278,0.0,-47898.5853,24.9118
0,63,ap1,86.057,37.8945,3084.2981,0.0,0.0
1,63,ap2,17.316,38.4687,0.0,-39606.5737,21.1527
2,63,ap3,71.1724,36.9903,0.0,0.0,0.0
3,63,ap4,68.6244,36.62,0.0,0.0,0.0
4,63,cs1,17.316,44.6456,0.0,-50007.6277,27.3296
5,63,cs2,17.316,43.4194,0.0,-49000.37,26.1034
0,64,ap1,79.4403,34.2469,3129.4916,0.0,0.0
1,64,ap2,17.316,38.1788,0.0,-40416.0709,20.8628
2,64,ap3,73.8792,38.8494,0.0,0.0,0.0
3,64,ap4,69.0133,36.8976,0.0,0.0,0.0
4,64,cs1,17.316,43.2084,0.0,-51012.2805,25.8924
5,64,cs2,17.316,40.9884,0.0,-49918.8854,23.6724
0,65,ap1,84.6027,37.0927,3177.0015,0.0,0.0
1,65,ap2,17.316,39.384,0.0,-41346.0832,22.068
2,65,ap3,72.6039,37.9735,0.0,0.0,0.0
3,65,ap4,70.7022,38.1029,0.0,0.0,0.0
4,65,cs1,17.316,42.5005,0.0,-52073.6317,25.1845
5,65,cs2,17.316,43.8508,0.0,-51037.146,26.5348
0,66,ap1,87.9673,38.9475,3226.0213,0.0,0.0
1,66,ap2,17.316,39.3316,0.0,-41565.4719,22.0156
2,66,ap3,71.9221,37.5052,0.0,0.0,0.0
3,66,ap4,69.7225,37.4037,0.0,0.0,0.0
4,66,cs1,17.316,41.704,0.0,-52316.6609,24.388
5,66,cs2,17.316,43.1767,0.0,-51294.8511,25.8607
0,67,ap1,81.2475,35.2431,3272.0257,0.0,0.0
1,67,ap2,17.316,37.3448,0.0,-41824.3792,20.0288
2,67,ap3,70.1108,36.2611,0.0,0.0,0.0
3,67,ap4,69.4366,37.1997,0.0,0.0,0.0
4,67,cs1,17.316,44.0677,0.0,-52662.4724,26.7517
5,67,cs2,17.316,43.9017,0.0,-51638.5175,26.5857
0,68,ap1,87.9157,38.919,3321.0223,0.0,0.0
1,68,ap2,17.316,36.0137,0.0,-42269.3411,18.6977
2,68,ap3,70.9826,36.8599,0.0,0.0,0.0
3,68,ap4,69.3896,37.1661,0.0,0.0,0.0
4,68,cs1,17.316,43.8412,0.0,-53293.709,26.5252
5,68,cs2,17.316,41.7126,0.0,-52219.0978,24.3966
0,69,ap1,85.0727,37.3518,3368.7432,0.0,0.0
1,69,ap2,17.316,35.0558,0.0,-42761.7173,17.7398
2,69,ap3,71.3406,37.1058,0.0,0.0,0.0
3,69,ap4,70.4867,37.9491,0.0,0.0,0.0
4,69,cs1,17.316,41.7274,0.0,-53971.257,24.4114
5,69,cs2,17.316,41.6613,0.0,-52894.8122,24.3453
0,70,ap1,85.3518,37.5057,3416.5893,0.0,0.0
1,70,ap2,17.316,36.8129,0.0,-42972.9501,19.4969
2,70,ap3,73.0658,38.2908,0.0,0.0,0.0
3,70,ap4,71.692,38.8094,0.0,0.0,0.0
4,70,cs1,17.316,43.5901,0.0,-54255.9162,26.2741
5,70,cs2,17.316,44.958,0.0,-53194.2912,27.642
0,71,ap1,85.1902,37.4166,3464.3629,0.0,0.0
1,71,ap2,17.316,39.3045,0.0,-43657.4367,21.9885
2,71,ap3,72.8251,38.1254,0.0,0.0,0.0
3,71,ap4,70.4048,37.8907,0.0,0.0,0.0
4,71,cs1,17.316,42.1407,0.0,-55028.6928,24.8247
5,71,cs2,17.316,43.2735,0.0,-54002.33,25.9575
0,72,ap1,84.8008,37.2019,3511.9617,0.0,0.0
1,72,ap2,17.316,37.0108,0.0,-44604.4073,19.6948
2,72,ap3,73.2396,38.4101,0.0,0.0,0.0
3,72,ap4,66.7024,35.2482,0.0,0.0,0.0
4,72,cs1,17.316,43.4835,0.0,-56286.8878,26.1675
5,72,cs2,17.316,43.6596,0.0,-55268.9933,26.3436
0,73,ap1,85.8745,37.7938,3560.0424,0.0,0.0
1,73,ap2,17.316,38.3938,0.0,-45191.5144,21.0778
2,73,ap3,73.0167,38.257,0.0,0.0,0.0
