,iteration,id,production,consumption,stored_kwh,wallet,trades_from,amount_from_city,amount_to_city,central_battery_tax
5,10,cs2,17.316,40.86,0.0,74.4928,ap1:11.4063-ap3:7.049-ap4:6.6699,0.0,0.0001,0.0
6,10,cs3,17.316,41.9619,0.0,77.8159,ap1:11.9467-ap3:7.3225-ap4:6.9435,0.0,0.0001,0.0
0,11,ap1,83.9435,36.7293,0.01,199.9651,,0.0001,0.0001,0.0
1,11,ap2,17.316,37.7888,0.0,25.2691,ap1:7.1471-ap3:7.1991-ap4:6.3793,0.0,0.0002,0.0
2,11,ap3,74.8054,39.4855,0.0,142.7421,ap1:0.0-ap2:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0001,0.0002,0.0
3,11,ap4,71.1338,38.411,0.0,136.0966,ap1:0.0-ap2:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0,0.0003,0.0
4,11,cs1,17.316,44.3001,0.0,52.2376,ap1:13.8176-ap3:6.89-ap4:6.5225,0.0,0.0002,0.0
5,11,cs2,17.316,43.681,0.0,51.2103,ap1:13.2392-ap3:6.8713-ap4:6.5038,0.0,0.0002,0.0
6,11,cs3,17.316,43.364,0.0,53.5258,ap1:13.0148-ap3:6.8246-ap4:6.4571,0.0,0.0002,0.0
0,12,ap1,83.6586,36.5723,0.01,244.7518,,0.0,0.001,0.0
1,12,ap2,17.316,35.8871,0.0,5.6092,ap1:8.2074-ap3:8.2313-ap4:7.4874,0.0001,5.3504,0.0
2,12,ap3,73.5909,38.6514,0.0,169.0967,,0.0,0.0006,0.0
3,12,ap4,68.4828,36.5189,0.0,160.6303,,0.0,0.0002,0.0
4,12,cs1,17.316,41.5216,0.0,26.4077,ap1:12.4112-ap3:8.7814-ap4:8.0375,0.0001,5.0199,0.0
5,12,cs2,17.316,42.3514,0.0,25.9645,ap1:12.9477-ap3:8.9141-ap4:8.1702,0.0001,4.9918,0.0
6,12,cs3,17.316,43.0096,0.0,28.5815,ap1:13.5227-ap3:9.0079-ap4:8.264,0.0001,5.0964,0.0
0,13,ap1,84.1412,36.8383,0.01,288.5823,ap2:0.0-ap3:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0,0.0009,0.0
1,13,ap2,17.316,38.2702,0.0,40.5636,ap1:8.6925-ap3:8.4351-ap4:7.4702-cs1:0.0-cs2:0.0-cs3:0.0,0.0001,3.6386,0.0
2,13,ap3,75.2738,39.8073,0.0,201.6117,ap1:0.0-ap2:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0,0.0012,0.0
3,13,ap4,67.2364,35.6293,0.0,190.3725,ap1:0.0-ap2:0.0-ap3:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0,0.0014,0.0
4,13,cs1,17.316,43.407,0.0,52.891,ap1:13.265-ap2:0.0-ap3:9.1158-ap4:8.151-cs2:0.0-cs3:0.0,0.0001,4.4359,0.0
5,13,cs2,17.316,41.2528,0.0,51.4019,ap1:11.3103-ap2:0.0-ap3:8.7155-ap4:7.7507-cs1:0.0-cs3:0.0,0.0001,3.8348,0.0
6,13,cs3,17.316,44.4475,0.0,54.4271,ap1:14.0398-ap2:0.0-ap3:9.1967-ap4:8.2318-cs1:0.0-cs2:0.0,0.0001,4.3319,0.0
0,14,ap1,83.6561,36.5709,0.01,333.2976,ap2:0.0-ap3:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0004,0.0,0.0
1,14,ap2,17.316,38.437,0.0,49.6014,ap1:9.2666-ap3:7.1309-ap4:6.3519,0.0,0.0002,0.0
2,14,ap3,73.5894,38.6504,0.0,235.1368,ap2:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0003,0.0,0.0
3,14,ap4,66.9872,35.4515,0.0,220.2516,,0.0003,0.0,0.0
4,14,cs1,17.316,43.8135,0.0,63.3948,ap1:13.5636-ap3:7.2332-ap4:7.0769,0.0,0.0002,0.0
5,14,cs2,17.316,41.9443,0.0,59.176,ap1:11.7664-ap3:7.2276-ap4:7.0198,0.0,0.0002,0.0
6,14,cs3,17.316,42.675,0.0,63.1232,ap1:12.4952-ap3:7.165-ap4:7.0087,0.0,0.0001,0.0
0,15,ap1,84.8145,37.2095,0.01,377.8206,,0.0,0.0,0.0
1,15,ap2,17.316,38.3825,0.0,28.0891,ap1:9.3414-ap3:6.8241-ap4:6.7537,0.0,0.0,0.0
2,15,ap3,71.8019,37.4227,0.0,262.3229,ap1:0.0-ap4:0.0,0.0002,0.0,0.0
3,15,ap4,70.6179,38.0428,0.0,246.2097,,0.0,0.0003,0.0
4,15,cs1,17.316,42.8406,0.0,37.0367,ap1:13.0834-ap3:7.1911-ap4:7.1207,0.0,0.0,0.0
5,15,cs2,17.316,42.1711,0.0,34.5768,ap1:12.5575-ap3:7.1157-ap4:7.0453,0.0,0.0,0.0
6,15,cs3,17.316,42.3635,0.0,37.9042,ap1:12.6304-ap3:7.1908-ap4:7.1203,0.0,0.0,0.0
0,16,ap1,83.8756,36.6919,0.01,422.5321,,5.6932,0.0002,0.0
1,16,ap2,17.316,39.0772,0.0,6.5656,ap1:12.0714-ap3:9.3269-ap4:8.5398,0.0001,8.1744,0.0
2,16,ap3,75.2274,39.7754,0.0,288.9079,,5.5926,0.0002,0.0
3,16,ap4,69.709,37.3941,0.0,272.5443,,5.5934,0.0002,0.0
4,16,cs1,17.316,42.8954,0.0,11.31,ap1:13.8306-ap3:10.7576-ap4:9.9745,0.0001,8.9808,0.0
5,16,cs2,17.316,43.9731,0.0,9.4855,ap1:14.7118-ap3:11.5078-ap4:10.7247,0.0001,10.2848,0.0
6,16,cs3,17.316,40.5403,0.0,12.6035,ap1:12.2681-ap3:9.4499-ap4:8.6668,0.0001,7.158,0.0
0,17,ap1,84.6962,37.1443,0.01,349.7679,ap2:0.0-ap3:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0,0.0002,0.0
1,17,ap2,17.316,34.9294,0.0,11.5685,ap1:0.5246-ap3:9.1698-ap4:8.7668,0.0,0.8479,0.0
2,17,ap3,72.3869,37.8245,0.0,207.1741,,0.0,0.0001,0.0
3,17,ap4,66.73,35.2679,0.0,187.8429,,0.0,0.0001,0.0
4,17,cs1,17.316,44.2367,0.0,15.2348,ap1:18.9954-ap3:9.278-ap4:8.5891,0.0,9.9419,0.0
5,17,cs2,17.316,42.4899,0.0,16.4606,ap1:14.4241-ap3:7.2787-ap4:6.2744,0.0,2.8034,0.0
6,17,cs3,17.316,41.0802,0.0,13.0627,ap1:13.6183-ap3:8.8369-ap4:7.8327,0.0,6.5238,0.0
0,18,ap1,84.9946,37.3087,0.01,394.068,ap2:0.0002-ap3:0.0001-ap4:0.0001-cs1:0.0002-cs2:0.0002-cs3:0.0002,6.2995,0.0,0.0
1,18,ap2,17.316,37.4419,0.0,-4.5206,ap1:8.6397-ap3:8.3198-ap4:7.5658-cs1:0.0001-cs2:0.0001-cs3:0.0001,0.0,4.5031,0.0
2,18,ap3,73.154,38.3513,0.0,239.3667,ap1:0.0001-ap2:0.0002-ap4:0.0001-cs1:0.0002-cs2:0.0002-cs3:0.0002,2.8975,0.0,0.0
3,18,ap4,69.6116,37.3245,0.0,217.1478,ap1:0.0001-ap2:0.0002-ap3:0.0001-cs1:0.0002-cs2:0.0002-cs3:0.0002,2.3975,0.0,0.0
4,18,cs1,17.316,44.2414,0.0,-6.1105,ap1:15.7464-ap2:0.0001-ap3:9.8954-ap4:9.1414-cs2:0.0001-cs3:0.0001,0.0,7.9616,0.0
5,18,cs2,17.316,44.0742,0.0,-5.9365,ap1:15.4888-ap2:0.0001-ap3:9.7934-ap4:9.0395-cs1:0.0001-cs3:0.0001,0.0,7.6672,0.0
6,18,cs3,17.316,42.4344,0.0,-6.6253,ap1:14.2223-ap2:0.0001-ap3:9.7969-ap4:9.043-cs1:0.0001-cs2:0.0001,0.0,8.0476,0.0
0,19,ap1,87.9678,38.9478,0.01,130.4266,ap2:0.0,0.0,0.0011,0.0
1,19,ap2,17.316,39.1648,0.0,13.7245,ap1:10.1948-ap3:7.3482-ap4:7.1461,0.0004,2.8352,0.0
2,19,ap3,72.6589,38.0113,0.0,130.3353,ap1:0.0-ap2:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0,0.0008,0.0
3,19,ap4,70.8484,38.2073,0.0,130.2544,ap1:0.0-ap2:0.0-ap3:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0,0.0008,0.0
4,19,cs1,17.316,41.853,0.0,34.2665,ap1:12.5737-ap2:0.0-ap3:6.6162-ap4:6.4141,0.0001,0.0004,0.0
5,19,cs2,17.316,41.2127,0.0,32.1673,ap1:11.9095-ap2:0.0-ap3:6.6201-ap4:6.418,0.0001,0.0004,0.0
6,19,cs3,17.316,44.1343,0.0,36.1728,ap1:14.3469-ap2:0.0-ap3:7.3518-ap4:6.1875,0.0001,0.0004,0.0
0,20,ap1,87.829,38.8713,0.01,176.324,,0.0,0.0,0.0
1,20,ap2,17.316,38.1725,0.0,0.0008,ap1:9.1884-ap3:7.8485-ap4:7.4389,0.0,3.6231,0.0
2,20,ap3,68.3535,35.0542,0.0,156.4897,,0.0004,0.0,0.0
3,20,ap4,67.4246,35.7636,0.0,154.7513,,0.0004,0.0,0.0
4,20,cs1,17.316,42.8083,0.0,10.2956,ap1:13.2665-ap3:8.4801-ap4:8.0705,0.0,4.3289,0.0
5,20,cs2,17.316,42.7907,0.0,8.8107,ap1:13.2428-ap3:8.4932-ap4:8.0836,0.0,4.3488,0.0
6,20,cs3,17.316,42.8104,0.0,10.0654,ap1:13.2724-ap3:8.4811-ap4:8.0715,0.0,4.3347,0.0
0,21,ap1,86.0647,37.8987,0.01,222.5185,ap3:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0,0.0001,0.0
1,21,ap2,17.316,37.8198,0.0,14.943,ap1:8.6553-ap3:6.4888-ap4:6.2194,0.0,0.8579,0.0
2,21,ap3,73.6271,38.6763,0.0,187.8972,,0.0,0.0006,0.0
3,21,ap4,71.9759,39.012,0.0,184.6135,,0.0,0.0004,0.0
4,21,cs1,17.316,43.4016,0.0,27.6066,ap1:13.4728-ap3:7.2481-ap4:7.0534,0.0,0.0,0.0
5,21,cs2,17.316,42.4163,0.0,26.3293,ap1:12.596-ap3:7.0549-ap4:6.8602,0.0,0.0,0.0
6,21,cs3,17.316,43.4205,0.0,27.4301,ap1:13.4483-ap3:7.2016-ap4:7.0069,0.0,0.0,0.0
0,22,ap1,85.5863,37.6349,0.01,267.7641,ap3:0.0-ap4:0.0,0.0,0.0001,0.0
1,22,ap2,17.316,37.1426,0.0,0.0,ap1:7.582-ap3:8.264-ap4:7.9188,0.0001,3.937,0.0
2,22,ap3,71.4646,37.191,0.0,214.1933,,0.0,0.0003,0.0
3,22,ap4,70.8937,38.2396,0.0,210.1064,,0.0,0.0003,0.0
4,22,cs1,17.316,42.757,0.0,1.5201,ap1:13.5214-ap3:8.5405-ap4:8.1096,0.0001,4.7293,0.0
5,22,cs2,17.316,42.1542,0.0,1.4292,ap1:12.9224-ap3:8.4605-ap4:8.0854,0.0001,4.6288,0.0
6,22,cs3,17.316,43.1191,0.0,1.4539,ap1:13.9316-ap3:8.5755-ap4:8.1123,0.0001,4.8152,0.0
0,23,ap1,89.7328,39.9208,0.01,312.6604,ap2:0.0-ap3:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,1.6192,0.0,0.0
1,23,ap2,17.316,38.1914,0.0,0.0,ap1:9.0655-ap3:8.1034-ap4:7.8052,0.0,4.1019,0.0
2,23,ap3,69.6498,35.9445,0.0,245.8753,,1.5814,0.0,0.0
3,23,ap4,70.401,37.888,0.0,240.2771,,1.5808,0.0,0.0
4,23,cs1,17.316,43.1496,0.0,0.0,ap1:13.4395-ap3:8.8871-ap4:8.5889,0.0,5.0851,0.0
5,23,cs2,17.316,44.201,0.0,0.0,ap1:14.255-ap3:9.1093-ap4:8.8111,0.0,5.2936,0.0
6,23,cs3,17.316,44.6918,0.0,0.0,ap1:14.6819-ap3:9.1899-ap4:8.8917,0.0,5.391,0.0
0,24,ap1,85.826,37.7671,0.01,304.6753,,0.0003,0.0,0.0
1,24,ap2,17.316,37.1382,0.0,19.4682,ap1:5.5121-ap3:7.6335-ap4:7.053-cs1:0.0-cs3:0.0,0.0,0.0001,0.0
2,24,ap3,71.9135,37.4993,0.0,223.8806,ap1:0.0-ap2:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0006,0.0,0.0
3,24,ap4,69.1937,37.0263,0.0,217.17,ap1:0.0-ap2:0.0-ap3:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.0,0.0,0.0
4,24,cs1,17.316,43.717,0.0,24.1772,ap1:13.8574-ap3:7.173-ap4:7.2207,0.0001,1.8491,0.0
5,24,cs2,17.316,43.0606,0.0,25.1758,ap1:12.5564-ap3:6.8107-ap4:6.7519-cs1:0.0-cs3:0.0,0.0,0.0001,0.0
6,24,cs3,17.316,45.5722,0.0,25.6419,ap1:16.139-ap3:7.6543-ap4:6.9011-cs1:0.0,0.0001,2.4374,0.0
0,25,ap1,82.3149,35.8316,0.01,350.3946,ap2:0.0-cs1:0.0-cs2:0.0-cs3:0.0,3.1507,0.0244,0.0
